date,iso,natural_gas_mw,wind_mw,solar_mw,coal_mw,nuclear_mw,load_mw,total_thermal_mw,gas_pct_thermal,gas_pct_load,wind_30d_avg_mw,wind_anomaly_mw,gas_burn_impact
2026-04-01,NYISO,8119,1558,0,0.0,1968,16499,,,,1031,526,NEUTRAL
2026-04-01,PJM,38448,6190,490,13438.0,29527,92861,,,,5897,293,NEUTRAL
2026-04-01,SPP,8238,18733,140,5193.0,2020,35027,,,,16858,1874,BEARISH (Strong Wind)
2026-04-02,CAISO,1788,3556,3734,0.0,2262,26053,,,,2081,1476,NEUTRAL
2026-04-02,ERCOT,20068,25023,1751,8138.0,3742,61571,,,,17964,7059,BEARISH (Strong Wind)
2026-04-02,ISONE,5559,718,0,,3539,13132,,,,795,-77,NEUTRAL
2026-04-02,MISO,27073,23767,352,15334.0,8357,74609,,,,16467,7300,BEARISH (Strong Wind)
2026-04-02,NATIONAL,70254,55265,5303,29540.0,32579,218163,132373.0,53.1,32.2,58613,-3349,BULLISH (Wind Drought)
2026-04-02,NYISO,8600,534,0,0.0,1923,16586,,,,1037,-503,NEUTRAL
2026-04-02,PJM,37212,7258,72,14070.0,29943,93842,,,,6009,1248,NEUTRAL
2026-04-02,SPP,7613,16795,36,6629.0,2021,33925,,,,16780,15,NEUTRAL
2026-04-03,CAISO,1461,3695,3991,0.0,2270,25274,,,,2102,1593,BEARISH (Strong Wind)
2026-04-03,ERCOT,18417,24312,3051,7751.0,3741,60151,,,,17842,6469,BEARISH (Strong Wind)
2026-04-03,ISONE,6838,761,0,,3518,14268,,,,792,-31,NEUTRAL
2026-04-03,MISO,29966,14375,324,17315.0,8195,73165,,,,16489,-2114,BULLISH (Wind Drought)
2026-04-03,NATIONAL,70603,49318,6659,30568.0,32884,214849,134055.0,52.7,32.9,58431,-9113,BULLISH (Wind Drought)
2026-04-03,NYISO,8311,1928,0,0.0,2453,16862,,,,988,939,NEUTRAL
2026-04-03,PJM,34384,9161,148,13647.0,30157,91041,,,,5988,3172,BEARISH (Strong Wind)
2026-04-03,SPP,8789,15707,242,6811.0,2022,34353,,,,16715,-1008,BULLISH (Wind Drought)
2026-04-04,CAISO,1509,2456,3448,0.0,2271,24693,,,,2133,323,NEUTRAL
2026-04-04,ERCOT,21502,20488,2107,6821.0,3739,58088,,,,18580,1908,BEARISH (Strong Wind)
2026-04-04,ISONE,4706,1278,1,,3366,12710,,,,765,514,NEUTRAL
2026-04-04,MISO,29857,13307,392,15424.0,8972,71990,,,,16177,-2870,BULLISH (Wind Drought)
2026-04-04,NATIONAL,69425,44006,5487,27637.0,33392,207706,130454.0,53.2,33.4,58795,-14790,BULLISH (Wind Drought)
2026-04-04,NYISO,7163,1660,0,0.0,2513,15694,,,,986,674,NEUTRAL
2026-04-04,PJM,33582,5445,178,14317.0,30166,87901,,,,5903,-458,NEUTRAL
2026-04-04,SPP,7362,17666,213,4993.0,2023,33096,,,,16740,926,NEUTRAL
2026-04-05,CAISO,2288,290,4397,0.0,2269,24739,,,,2164,-1874,BULLISH (Wind Drought)
2026-04-05,ERCOT,20669,14354,2430,6660.0,3739,49728,,,,18783,-4429,BULLISH (Wind Drought)
2026-04-05,ISONE,5347,1340,4,,2249,12757,,,,794,547,NEUTRAL
2026-04-05,MISO,23875,24033,228,12162.0,8796,67897,,,,16186,7847,BEARISH (Strong Wind)
2026-04-05,NATIONAL,66938,41381,6561,24595.0,32378,196685,123911.0,54.0,34.0,58972,-17591,BULLISH (Wind Drought)
2026-04-05,NYISO,7301,1863,0,0.0,2407,15210,,,,948,915,NEUTRAL
2026-04-05,PJM,31024,8045,119,13828.0,29834,88661,,,,5854,2190,BEARISH (Strong Wind)
2026-04-05,SPP,11029,10142,272,4549.0,2025,29797,,,,16759,-6616,BULLISH (Wind Drought)
